username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-08-20 00:11;0;2;"#KeralaFlood Although India hasn't sought help from @UN yet...expect the NRI, Global community & celebs like @elonmusk to respond in saving thousands of victims with same alacrity & resources which they displayed in #ThaiCaveRescue for 12 boys https://www. bbc.com/news/world-asi a-india-45239398 …";;@UN @elonmusk;#KeralaFlood #ThaiCaveRescue;"1031249725851295744";https://twitter.com/arupneo/status/1031249725851295744
;2018-08-20 00:06;18;77;"#IndiaForKerala | Special trains from West Bengal to evacuate people stranded in Kerala. Read more here: https:// goo.gl/cr9FCC Here’s how you can help #KeralaFlood victims: http:// goo.gl/rGiu99 #KeralaReliefFund #KeralaFloods pic.twitter.com/eYKkJOAAJy";;;#IndiaForKerala #KeralaFlood #KeralaReliefFund #KeralaFloods;"1031248440850702336";https://twitter.com/ndtv/status/1031248440850702336
;2018-08-20 00:04;0;1;"#keralaflood is a national tragedy as the entire nation rose to help out!Trying times, when every one outside gave from the heart &everyone in Kerala served with their heart! From fishermen, youngsters, volunteers & every common citizen supplemented the Defence forces & NDRF. TY";;;#keralaflood;"1031247992395689984";https://twitter.com/kmanojmenon/status/1031247992395689984
;2018-08-20 00:01;709;1237;"Keralite working in Oman got fired from his job for posting insensitive comments about #KeralaFlood victims. Rahul Palayattu working in the Lulu Group had made fun of the sanitary needs of the flood victims on a Facebook, Commented "Shall I send some Condoms as relief material" pic.twitter.com/jp2gRsAqZG";;;#KeralaFlood;"1031247363808083970";https://twitter.com/swamv39/status/1031247363808083970
;2018-08-19 23:56;1;3;"The dangers Relief Camp #Volunteers undertaking to get normal daily food and supplies everyday in #Aluva - #Paravoor route feeding 2000 plus people right from buying food in deep waters to lodging the Victims #KeralaFloods #KeralaFloodRelief #KeralaFlood #KeralaSOS #BajrangPunia pic.twitter.com/lzbuLPQekL";;;#Volunteers #Aluva #Paravoor #KeralaFloods #KeralaFloodRelief #KeralaFlood #KeralaSOS #BajrangPunia;"1031245924666941440";https://twitter.com/__jack_daniel__/status/1031245924666941440
;2018-08-19 23:43;0;0;"#KeralaFlood Thank you @iamsrk from the bottom of our hearts Now we the people of Kerala facing a difficult situation here so we need more help to come back strongly We appreciate @iamsrk helping us Thank you so much. May Allah bless you";;@iamsrk @iamsrk;#KeralaFlood;"1031242804574351360";https://twitter.com/Ahamed95633076/status/1031242804574351360
;2018-08-19 23:19;0;0;"India has a lot to study from Kerala... #wewillfightalone #WeWillOvercome #KeralaFlood";;;#wewillfightalone #WeWillOvercome #KeralaFlood;"1031236733302710272";https://twitter.com/iamsidqatar/status/1031236733302710272
;2018-08-19 23:03;8;10;"It may be #superstition for rest of #india but many persons from the #KeralaFlood affected area believe that bid to entry of women in #Sabrimala is responsible for such a disaster. #KeralaFloodRelief #KeralaFloodRescue";;;#superstition #india #KeralaFlood #Sabrimala #KeralaFloodRelief #KeralaFloodRescue;"1031232803143380993";https://twitter.com/pradeepraiindia/status/1031232803143380993
;2018-08-19 22:53;2;8;"Do the people in Kerala all a favour and refrain from turning this into a communal or religious issue. The only religion here is #humanity ! And the only reality on the ground is that we need more of all the big and small things we took for granted everyday!! #keralaflood";;;#humanity #keralaflood;"1031230212053159936";https://twitter.com/solomons_acad/status/1031230212053159936
;2018-08-19 22:42;0;0;"#KeralaFlood #BreakingNews from @naturelabs team. More than 123000 people are relief camp. #Donate for rehabilitation #IndiaForKerala #KeralaReliefFund Just download #Google Tez app and get tax benefit http:// g.co/tez/o9qu3y Kindly click the link and get cash of Rs 51 pic.twitter.com/tJNBxumSA5";;@naturelabs;#KeralaFlood #BreakingNews #Donate #IndiaForKerala #KeralaReliefFund #Google;"1031227361490948096";https://twitter.com/mobileflim/status/1031227361490948096
;2018-08-19 22:39;0;0;"Expecting helps from @Canada . #KeralaFloodReleif #KeralaReliefFund #KeralaFlood #KeralaDonationChallenge @CMOKerala @JustinTrudeau https:// twitter.com/JustinTrudeau/ status/1030901705578356743 …";;@Canada @CMOKerala @JustinTrudeau;#KeralaFloodReleif #KeralaReliefFund #KeralaFlood #KeralaDonationChallenge;"1031226740318851073";https://twitter.com/noufalvarikotil/status/1031226740318851073
;2018-08-19 22:38;0;0;"Kerala pays taxes to centre govt. And has every right to ask for relief like every other state! Btw, financial aid is not gonna come from your BJP HQ! #KeralaFlood";;;#KeralaFlood;"1031226301812809728";https://twitter.com/ritzedup/status/1031226301812809728
;2018-08-19 22:25;13;23;"Free transportation of relief goods from Doha to Trivandrum on their daily passenger flight... #Qatar #KeralaFlood #KeralaFloodRelief #QatarAirways https:// thepeninsulaqatar.com/article/19/08/ 2018/Qatar-Airways-Cargo-supports-relief-efforts-to-flood-hit-Kerala …";;;#Qatar #KeralaFlood #KeralaFloodRelief #QatarAirways;"1031223023041499136";https://twitter.com/PeninsulaQatar/status/1031223023041499136
;2018-08-19 22:22;1;2;"67 helicopters,24 aircraft,548 motorboats&thousands of rescue personnel from Navy,Army,Air Force,NDRF,Coast Guard,otherCAPFs pressed into service to evacuate people from submerged areas to relief camps&distribute relief materials:NationalCrisis Management Committee. #KeralaFlood";;;#KeralaFlood;"1031222258037977089";https://twitter.com/Manesha76/status/1031222258037977089
;2018-08-19 22:18;0;0;"#BiggBossTelugu2 #KaushalArmy again won Someone from army send MSG to not vote #banana #Sunaina and they never told to vote someone. I think next elimination will be #Amit the fake face Who is next week Bakraa #KeralaFlood";;;#BiggBossTelugu2 #KaushalArmy #banana #Sunaina #Amit #KeralaFlood;"1031221410197168129";https://twitter.com/ImShaiksm/status/1031221410197168129
;2018-08-19 22:17;0;8;"Another one from the dirty trick dept of #HinduTaliban on #KeralaFlood . These guys use social media to say anything and spread hatred";;;#HinduTaliban #KeralaFlood;"1031221190931566597";https://twitter.com/haritho/status/1031221190931566597
;2018-08-19 22:10;0;0;"The loss in kerala flood is more than 20000Cr. Kerala govt demanded 2000Cr from centre and they approved only 500Cr, while firstly announced only 100 cr. #keralafloodrelief #fund #governmentOfIndia #kerala #keralaNeedsYourHelp #keralaflood #ANshu";;;#keralafloodrelief #fund #governmentOfIndia #kerala #keralaNeedsYourHelp #keralaflood #ANshu;"1031219435292557314";https://twitter.com/AnshuYaadav_Ftp/status/1031219435292557314
;2018-08-19 22:10;0;0;"Hats off to #kerala fisherman for saving 50000 people in a day from chengannur.They are the real heroes #KeralaFlood #IndiaForKerala";;;#kerala #KeralaFlood #IndiaForKerala;"1031219314899083269";https://twitter.com/Droid072/status/1031219314899083269
